Stap;Bijbeltekst;Bijbelvertaling;Bijbelvers;Beeld;Bijbeloproep (synopsis);Bronnen;Overige;Muziek
1;Mat 22:37;HSV;En u zult de Heere, uw God, liefhebben met heel uw hart;;En u zult de Heere, uw God, liefhebben met heel uw hart;;;Casting crowns – here is my heart
1;1 Joh 4:19;HSV;Wij hebben Hem lief, omdat Hij ons eerst liefgehad heeft.;;;;;
1;1 Tim 1:5;HSV;Het einddoel nu van het gebod is liefde [die voortkomt] uit een rein hart, een goed geweten en een ongeveinsd geloof.;;;;;
1;2 Tim 2:22;HSV;Ontvlucht de verlangens van de jeugd, jaag gerechtigheid na, geloof, liefde, vrede, met wie de Heer aanroepen vanuit een rein hart.;;;;;
1;Mat 5:8;HSV;Gelukkig wie zuiver van hart zijn, want zij zullen God zien.;;;;;
1;1 Pet 3:15;HSV;"maar heilig God, de Heere, in uw hart;";;;;;
1;Deut 6:5;HSV;Daarom zult u de HEERE, uw God, liefhebben met heel uw hart;;;;;
1;Deut 10:12;HSV;Nu dan, Israël, wat vraagt de HEERE, uw God, van u dan de HEERE, uw God, te vrezen, in al Zijn wegen te gaan, Hem lief te hebben en de HEERE, uw God, te dienen, met heel uw hart;;;;;
1;Deut 30:6;HSV;De HEERE, uw God, zal uw hart en het hart van uw nageslacht besnijden, om de HEERE, uw God, lief te hebben met heel uw hart en met heel uw ziel, zodat u leven zult.;;;;;
1;Ps 119:2;HSV;Welzalig wie Zijn getuigenissen in acht nemen, die Hem met heel hun hart zoeken,;;;;;
1;Ps 119:10;HSV;Ik zoek U met heel mijn hart, laat mij van Uw geboden niet afdwalen.;;;;;
1;2 Kro 25:2;HSV;Hij deed wat juist was in de ogen van de HEERE, alleen niet met een volkomen hart.;;;;;
2;Mat 22:37;HSV;U zult de Here uw God liefhebben […] met heel uw ziel ;;U zult de Here uw God liefhebben  met heel uw ziel ;;;
2;Ps 42:2-3;HSV;Zoals een hinde smacht naar stromend water, zo smacht mijn ziel naar u, o God. Mijn ziel dorst naar God, naar de levende God, wanneer mag ik nader komen en Gods gelaat aanschouwen?;;;;;
2;Heb 4:12;HSV;Want levend en krachtig is het woord van God, en scherper dan een tweesnijdend zwaard: het dringt diep door tot waar ziel en geest, been en merg elkaar raken, en het is in staat de opvattingen en gedachten van het hart te ontleden.;;;;;
2;Mat 5:6;HSV;Gelukkig wie hongeren en dorsten naar gerechtigheid, want zij zullen verzadigd worden.;;;;;
2;Deut 6:5;HSV;Daarom zult u de HEERE, uw God, liefhebben [...], met heel uw ziel;;;;;
2;Deut 10:12;HSV;Nu dan, Israël, wat vraagt de HEERE, uw God, van u dan de HEERE, uw God, te vrezen, in al Zijn wegen te gaan, Hem lief te hebben en de HEERE, uw God, te dienen, […] met heel uw ziel,;;;;;
2;Deut 30:6;HSV;De HEERE, uw God, zal uw hart en het hart van uw nageslacht besnijden, om de HEERE, uw God, lief te hebben […] met heel uw ziel, zodat u leven zult.;;;;;
3;Mar 12:30;HSV;U zult de Here uw God liefhebben […] met heel uw verstand;;U zult de Here uw God liefhebben  met heel uw verstand;;;
3;Joh 14:23;HSV;"Als iemand Mij liefheeft, zal hij Mijn woord in acht nemen; en Mijn Vader zal hem liefhebben, en Wij zullen naar hem toe komen en bij hem intrek nemen.";;;;;
3;2 Tim 3:16;HSV;Heel de Schrift is door God ingegeven en is nuttig om daarmee te onderwijzen, te weerleggen, te verbeteren en op te voeden in de rechtvaardigheid, opdat de mens die God toebehoort, volmaakt zou zijn, tot elk goed werk volkomen toegerust.;;;;;
3;Ps 1:1-3;HSV;"Welzalig de man die niet wandelt in de raad van de goddelozen, die niet staat op de weg van de zondaars, die niet zit op de zetel van de spotters, maar die zijn vreugde vindt in de wet van de HEERE en Zijn wet dag en nacht overdenkt. Want hij zal zijn als een boom, geplant aan waterbeken, die zijn vrucht geeft op zijn tijd, waarvan het blad niet afvalt; al wat hij doet, zal goed gelukken.";;;;;
3;Mat 13:23;HSV;Bij wie in de goede aarde gezaaid is, dat is hij die het Woord hoort en begrijpt, die ook vrucht draagt en voortbrengt, de één honderd-, de ander zestig-, en de ander dertigvoudig.;;;;;
3;Opb 1:3;HSV;3 Zalig is hij die leest en zijn zij die horen de woorden van de profetie, en die in acht nemen wat daarin geschreven staat, want de tijd is nabij.;;;;;
4;Mar 12:30;HSV;U zult de Here uw God liefhebben […] met heel uw kracht;;U zult de Here uw God liefhebben  met heel uw kracht;;;
4;Mat 5:3;NaB;zalig de armen van geest, want van hen is het koninkrijk der hemelen;;;https://christenzijn.nl/20-voorbeelden-van-wat-het-betekent-om-arm-van-geest-te-zijn;;
4;Ps 34:19;NaB;Terzijde staat de Ene gebrokenen van hárt, hij redt verbrijzelden van géest. ;;;;;
4;1 Kor 2:4-5;HSV;En mijn spreken en mijn prediking bestonden niet in overtuigende woorden van menselijke wijsheid, maar in het betonen van geest en kracht, opdat uw geloof niet zou bestaan in wijsheid van mensen, maar in kracht van God.;;;;;
4;Luk 6:20;HSV;Zalig bent u, armen, want van u is het Koninkrijk van God.;;;;;
4;Deut 6:5;HSV;Daarom zult u de HEERE, uw God, liefhebben […] met heel uw kracht.;;;;;
5;Mat 19:19b;HSV;U zult uw naaste liefhebben als uzelf.;;U zult uw naaste liefhebben als uzelf.;;;
5;Mar 12:31;HSV;U zult uw naaste liefhebben als uzelf.;;;;;
5;Luk 10:30-37;HSV;Jezus antwoordde en zei: Een man ging van Jeruzalem naar Jericho en viel in de handen van rovers, die hem de kleren uittrokken, hem daarbij slagen toedienden en hem bij hun vertrek halfdood lieten liggen. Toevallig kwam er een priester langs diezelfde weg, en toen hij hem zag, ging hij aan de overkant voorbij. Evenzo ging ook een Leviet, toen hij op die plek kwam en hem zag, aan de overkant voorbij. Maar een Samaritaan die op reis was, kwam in zijn buurt, en toen hij hem zag, was hij met innerlijke ontferming bewogen. En hij ging naar hem toe, verbond zijn wonden en goot er olie en wijn op. Hij tilde hem op zijn eigen rijdier, bracht hem naar een herberg en verzorgde hem. En toen hij de volgende dag wegging, haalde hij twee penningen tevoorschijn, en hij gaf ze aan de waard en zei tegen hem: Zorg voor hem, en wat u verder aan kosten maakt, zal ik u geven als ik terugkom. Wie van deze drie denkt u dat de naaste geweest is van hem die in handen van de rovers gevallen was? En hij zei: Degene die hem barmhartigheid bewezen heeft. Jezus zei tegen hem: Ga heen en doet u evenzo.;;;;;
5;Lev 19:18;HSV;U mag geen wraak nemen of een wrok koesteren tegen uw volksgenoten, maar u moet uw naaste liefhebben als uzelf. Ik ben de HEERE.;;;;;
5;Rom 13:8,10;HSV;"Wees niemand iets schuldig dan elkaar lief te hebben; want wie de ander liefheeft, heeft de wet vervuld.
10. De liefde doet de naaste geen kwaad. Daarom is de liefde de vervulling van de wet.";;;;;
5;Gal 5:14;HSV;Want de hele wet wordt in één woord vervuld, namelijk hierin: U zult uw naaste liefhebben als uzelf.;;;;;
5;1 Thes 4:9;HSV;Wat nu de broederliefde betreft, hebt u het niet nodig dat ik u schrijf, want u bent zelf door God onderwezen om elkaar lief te hebben.;;;;;
5;Jak 2:8;HSV;Als u echter de koninklijke wet volbrengt, volgens de Schrift: U zult uw naaste liefhebben als uzelf, dan handelt u goed.;;;;;
6;Mat 4:10, Luk 4:8;HSV;De Heere, uw God, zult u aanbidden en Hem alleen dienen.;;De Heere, uw God, zult u aanbidden en Hem alleen dienen.;;;
6;Deut 6:13;HSV;U moet de HEERE, uw God, vrezen, Hem dienen en bij Zijn Naam zweren.;;;;;
6;Deut 10:20;HSV;De HEERE, uw God, moet u vrezen, Hem moet u dienen, aan Hem moet u zich vasthouden en bij Zijn Naam moet u zweren.;;;;;
6;Deut 13:4;HSV;"Achter de HEERE, uw God, moet u aan gaan, Hem moet u vrezen, Zijn geboden moet u in acht nemen en Zijn stem gehoorzamen; Hem moet u dienen en u aan Hem vasthouden.";;;;;
6;Joh 4:24;HSV;God is Geest en wie Hem aanbidden, moeten Hem aanbidden in geest en waarheid.;;;;;
6;1 Sam 7:3-4;HSV;"Toen sprak Samuel tot het hele huis van Israël: Als u zich met uw hele hart tot de HEERE bekeert, doe dan de vreemde goden uit uw midden weg, ook de Astartes, richt uw hart op de HEERE en dien Hem alleen. Dan zal Hij u uit de hand van de Filistijnen redden.
4. Daarop deden de Israëlieten de Baäls en de Astartes weg, en zij dienden de HEERE alleen.";;;;;
7;Mat 4:17;HSV;Bekeer u, want het Koninkrijk der hemelen is nabijgekomen.;Beeld van iemand die gedoopt wordt;Bekeer u en geloof het evangelie;;;
7;Mar 1:15;HSV;"en Hij zei: De tijd is vervuld en het Koninkrijk van God is nabijgekomen; bekeer u en geloof het Evangelie.";;;;;
7;Mat 12:41;HSV;"De mannen van Ninevé zullen opstaan in het oordeel samen met dit geslacht en zullen het veroordelen, want zij hebben zich bekeerd op de prediking van Jona; en zie, meer dan Jona is hier!";;;;;
7;Luk 13:3;HSV;maar als u zich niet bekeert, zult u allen evenzo omkomen.;;;;;
7;Jes 55:7;HSV;Laat de goddeloze zijn weg verlaten, de man van ongerechtigheid zijn gedachten. Laat hij zich bekeren tot de HEERE, dan zal Hij Zich over hem ontfermen, tot onze God, want Hij vergeeft veelvuldig.;;;;;
7;Han 2:38;HSV;"En Petrus zei tegen hen: Bekeer u en laat ieder van u gedoopt worden in de Naam van Jezus Christus, tot vergeving van de zonden; en u zult de gave van de Heilige Geest ontvangen.";;;;;
7;Han 17:30;HSV;God dan verkondigt, met voorbijzien van de tijden van de onwetendheid, nu overal aan alle mensen dat zij zich moeten bekeren,;;;;;
7;Han 26:20;HSV;maar heb ik eerst aan hen die in Damascus en in Jeruzalem en in heel het land van Judea woonden, en later aan de heidenen verkondigd dat zij tot inkeer moesten komen, zich tot God bekeren en werken doen die in overeenstemming zijn met de bekering.;;;;;
